id,title,image_link
15182,ماء الزموته,https://e-majaz.com/wp-content/uploads/2021/03/IMG_0542-rotated.jpg
15422,مجسّم نور على نور,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2560.jpg
15426,مبخر مزين بالنقوش الأحسائية,"https://e-majaz.com/wp-content/uploads/2021/03/IMG_2537.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2539.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2540.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2541.jpg"
15428,صحن مطعم بزخرفة وردة أحسائية,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2530.jpg
15430,ميدالية خشبية,"https://e-majaz.com/wp-content/uploads/2021/03/IMG_2553.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2557.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2556.jpg"
15432,درع بنقوش تراثية,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2548.jpg
15434,درع بزخارف أحسائية,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2549.jpg
15436,درع بنقش حساوي,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2545.jpg
15438,درع أحسائي,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2544.jpg
15440,درع بنقش أحسائي,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2545.jpg
15442,درع بنقوش أحسائية,https://e-majaz.com/wp-content/uploads/2021/03/IMG_2546-1.jpg
15445,صحن مطعم بزخارف أحسائية,"https://e-majaz.com/wp-content/uploads/2021/03/IMG_2565-1.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2564.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2563.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2562.jpg"
15461,حافظة للتمر فاخرة بالأخشاب الطبيعية,"https://e-majaz.com/wp-content/uploads/2021/03/IMG_2566.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2567.jpg, https://e-majaz.com/wp-content/uploads/2021/03/IMG_2568.jpg"
